L1,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.087,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.088,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.089,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.09,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.091,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.092,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.093,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.094,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.095,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.096,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.097,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.098,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.099,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.1,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.101,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.102,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.103,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.104,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.105,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.106,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.107,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.108,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.109,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.11,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
